transaction_id,property_id,date,transaction_type,amount
F000001,P001,2024-01-05,Rental Income,3200000
F000002,P001,2024-01-15,Property Tax,85000
F000003,P001,2024-02-12,Insurance,42000
F000004,P001,2024-03-18,Service Charge,185000
F000005,P001,2024-04-09,Maintenance,42000
F000006,P001,2024-06-14,Utilities,28000
F000007,P001,2024-08-21,Capital Expenditure,175000
F000008,P001,2024-10-11,Rental Income,3200000
F000009,P002,2024-01-08,Rental Income,4100000
F000010,P002,2024-02-19,Property Tax,72000
F000011,P002,2024-03-22,Insurance,38000
F000012,P002,2024-04-16,Service Charge,165000
F000013,P002,2024-05-27,Maintenance,51000
F000014,P002,2024-07-12,Utilities,31000
F000015,P002,2024-09-06,Capital Expenditure,220000
F000016,P002,2024-11-15,Rental Income,4100000
F000017,P003,2024-01-04,Rental Income,5200000
F000018,P003,2024-02-14,Property Tax,105000
F000019,P003,2024-03-25,Insurance,49000
F000020,P003,2024-04-19,Service Charge,225000
F000021,P003,2024-05-16,Maintenance,78000
F000022,P003,2024-07-08,Utilities,36000
F000023,P003,2024-09-17,Capital Expenditure,315000
F000024,P003,2024-11-22,Rental Income,5200000
F000025,P004,2024-01-11,Rental Income,3400000
F000026,P004,2024-02-21,Property Tax,79000
F000027,P004,2024-03-15,Insurance,41000
F000028,P004,2024-05-07,Service Charge,178000
F000029,P004,2024-06-18,Maintenance,46500
F000030,P004,2024-08-13,Utilities,29000
F000031,P004,2024-10-04,Capital Expenditure,190000
F000032,P004,2024-11-19,Rental Income,3400000
F000033,P005,2024-01-09,Rental Income,1850000
F000034,P005,2024-02-26,Property Tax,55000
F000035,P005,2024-04-03,Insurance,31000
F000036,P005,2024-05-22,Service Charge,112000
F000037,P005,2024-07-17,Maintenance,38500
F000038,P005,2024-08-29,Utilities,22000
F000039,P005,2024-10-16,Capital Expenditure,125000
F000040,P005,2024-11-28,Rental Income,1850000
F000041,P006,2024-01-06,Rental Income,4800000
F000042,P006,2024-02-17,Property Tax,118000
F000043,P006,2024-03-29,Insurance,56000
F000044,P006,2024-04-11,Service Charge,245000
F000045,P006,2024-06-05,Maintenance,91000
F000046,P006,2024-07-19,Utilities,41000
F000047,P006,2024-09-12,Capital Expenditure,380000
F000048,P006,2024-11-07,Rental Income,4800000
F000049,P007,2024-01-13,Rental Income,3300000
F000050,P007,2024-02-28,Property Tax,69000
F000051,P007,2024-03-19,Insurance,37000
F000052,P007,2024-05-14,Service Charge,158000
F000053,P007,2024-06-26,Maintenance,44500
F000054,P007,2024-08-16,Utilities,27000
F000055,P007,2024-10-08,Capital Expenditure,155000
F000056,P007,2024-11-21,Rental Income,3300000
F000057,P008,2024-01-07,Rental Income,4200000
F000058,P008,2024-02-15,Property Tax,92000
F000059,P008,2024-03-27,Insurance,44000
F000060,P008,2024-04-18,Service Charge,198000
F000061,P008,2024-06-11,Maintenance,67000
F000062,P008,2024-07-25,Utilities,33000
F000063,P008,2024-09-19,Capital Expenditure,245000
F000064,P008,2024-11-12,Rental Income,4200000
F000065,P009,2024-01-10,Rental Income,5600000
F000066,P009,2024-02-22,Property Tax,126000
F000067,P009,2024-03-14,Insurance,61000
F000068,P009,2024-04-26,Service Charge,268000
F000069,P009,2024-06-17,Maintenance,98500
F000070,P009,2024-08-09,Utilities,45000
F000071,P009,2024-09-24,Capital Expenditure,4250000
F000072,P009,2024-11-18,Rental Income,5600000
F000073,P010,2024-01-12,Rental Income,2500000
F000074,P010,2024-02-20,Property Tax,71000
F000075,P010,2024-03-28,Insurance,35000
F000076,P010,2024-05-10,Service Charge,142000
F000077,P010,2024-06-21,Maintenance,39200
F000078,P010,2024-08-14,Utilities,25000
F000079,P010,2024-10-18,Capital Expenditure,165000
F000080,P010,2024-11-26,Rental Income,2500000
F000081,P011,2024-01-15,Rental Income,2200000
F000082,P011,2024-02-27,Property Tax,48000
F000083,P011,2024-04-08,Insurance,26000
F000084,P011,2024-05-24,Service Charge,98000
F000085,P011,2024-07-11,Maintenance,31200
F000086,P011,2024-08-23,Utilities,19000
F000087,P011,2024-10-07,Capital Expenditure,95000
F000088,P011,2024-11-20,Rental Income,2200000
F000089,P012,2024-01-09,Rental Income,1650000
F000090,P012,2024-02-16,Property Tax,43000
F000091,P012,2024-03-21,Insurance,24000
F000092,P012,2024-05-06,Service Charge,87000
F000093,P012,2024-06-28,Maintenance,27600
F000094,P012,2024-08-19,Utilities,17000
F000095,P012,2024-10-12,Capital Expenditure,85000
F000096,P012,2024-11-25,Rental Income,1650000
F000097,P013,2024-01-05,Rental Income,6200000
F000097,P013,2024-01-05,Rental Income,6200000
F000098,P013,2024-02-13,Property Tax,148000
F000099,P013,2024-03-26,Insurance,68000
F000100,P013,2024-04-17,Service Charge,310000
F000101,P013,2024-06-06,Maintenance,115000
F000102,P013,2024-07-22,Utilities,52000
F000103,P013,2024-09-16,Capital Expenditure,510000
F000104,P013,2024-11-14,Rental Income,6200000
F000105,P014,2024-01-08,Rental Income,4600000
F000106,P014,2024-02-19,Property Tax,112000
F000107,P014,2024-03-30,Insurance,53000
F000108,P014,2024-05-13,Service Charge,218000
F000109,P014,2024-06-24,Maintenance,83000
F000110,P014,2024-08-15,Utilities,39000
F000111,P014,2024-10-09,Capital Expenditure,295000
F000112,P014,2024-11-21,Rental Income,4600000
F000113,P015,2024-01-14,Rental Income,5100000
F000114,P015,2024-02-25,Property Tax,121000
F000115,P015,2024-03-18,Insurance,58000
F000116,P015,2024-04-29,Service Charge,252000
F000117,P015,2024-06-13,Maintenance,108000
F000118,P015,2024-08-07,Utilities,43000
F000119,P015,2024-09-23,Capital Expenditure,395000
F000120,P015,2024-11-16,Rental Income,5100000
F000121,P016,2024-01-11,Rental Income,2800000
F000122,P016,2024-02-23,Property Tax,66000
F000123,P016,2024-03-29,Insurance,33000
F000124,P016,2024-05-17,Service Charge,129000
F000125,P016,2024-06-27,Maintenance,36800
F000126,P016,2024-08-12,Utilities,24000
F000127,P016,2024-10-21,Capital Expenditure,135000
F000128,P016,2024-11-27,Rental Income,2800000
F000129,P017,2024-01-16,Rental Income,2400000
F000130,P017,2024-02-28,Property Tax,59000
F000131,P017,2024-04-12,Insurance,29000
F000132,P017,2024-05-21,Service Charge,118000
F000133,P017,2024-07-05,Maintenance,34400
F000134,P017,2024-08-26,Utilities,21000
F000135,P017,2024-10-14,Capital Expenditure,115000
F000136,P017,2024-11-22,Rental Income,2400000
F000137,P018,2024-01-07,Rental Income,3100000
F000138,P018,2024-02-18,Property Tax,82000
F000139,P018,2024-03-25,Insurance,39000
F000140,P018,2024-05-09,Service Charge,172000
F000141,P018,2024-06-20,Maintenance,64900
F000142,P018,2024-08-08,Utilities,31000
F000143,P018,2024-09-27,Capital Expenditure,225000
F000144,P018,2024-11-19,Rental Income,3100000
F000145,P019,2024-01-13,Rental Income,1750000
F000146,P019,2024-02-24,Property Tax,47000
F000147,P019,2024-03-20,Insurance,27000
F000148,P019,2024-05-15,Service Charge,91000
F000149,P019,2024-06-28,Maintenance,29800
F000150,P019,2024-08-17,Utilities,18000
F000151,P019,2024-10-06,Capital Expenditure,90000
F000152,P019,2024-11-23,Rental Income,1750000
F000153,P020,2024-01-09,Rental Income,2900000
F000154,P020,2024-02-21,Property Tax,73000
F000155,P020,2024-03-27,Insurance,36000
F000156,P020,2024-05-11,Service Charge,151000
F000157,P020,2024-06-19,Maintenance,58700
F000158,P020,2024-08-22,Utilities,28000
F000159,P020,2024-09-30,Capital Expenditure,205000
F000160,P020,2024-11-13,Rental Income,2900000
