lease_id,tenant_id,property_id,start_date,end_date,annual_rent
L0001,T001,P001,2023-04-01,2028-03-31,3200000
L0002,T003,P001,2024-01-01,2029-12-31,2850000
L0003,T005,P001,2022-07-01,2027-06-30,1750000
L0004,T002,P002,2023-01-01,2030-12-31,4100000
L0005,T007,P002,2024-06-01,2029-05-31,2200000
L0006,T004,P003,2022-03-01,2029-02-28,3900000
L0007,T011,P003,2023-09-01,2031-08-31,5200000
L0008,T013,P003,2024-01-01,2028-12-31,3100000
L0009,T006,P004,2023-05-01,2028-04-30,2600000
L0010,T015,P004,2024-02-01,2030-01-31,3400000
L0011,T008,P005,2022-01-01,2027-12-31,1850000
L0012,T014,P005,2024-04-01,2029-03-31,1450000
L0013,T009,P006,2023-01-01,2031-12-31,4800000
L0014,T018,P006,2024-08-01,2029-07-31,3600000
L0015,T016,P007,2022-09-01,2028-08-31,3300000
L0016,T021,P007,2023-11-01,2027-10-31,1950000
L0017,T010,P008,2024-01-01,2030-12-31,4200000
L0018,T019,P008,2022-06-01,2028-05-31,3700000
L0019,T024,P009,2023-01-01,2032-12-31,5600000
L0020,T004,P999,2024-03-01,2029-02-28,3100000
L0021,T017,P010,2022-05-01,2028-04-30,2500000
L0022,T022,P010,2024-01-01,2029-12-31,2100000
L0023,T012,P011,2023-07-01,2028-06-30,1750000
L0024,T025,P011,2024-02-01,2030-01-31,2200000
L0025,T003,P012,2022-04-01,2027-03-31,1350000
L0026,T020,P012,2024-01-01,2029-12-31,1650000
L0027,T001,P013,2023-01-01,2032-12-31,6200000
L0028,T011,P013,2024-05-01,2031-04-30,5400000
L0029,T016,P014,2022-08-01,2029-07-31,4600000
L0030,T006,P014,2024-01-01,2028-12-31,2900000
L0031,T024,P015,2023-03-01,2030-02-28,5100000
L0032,T009,P015,2024-06-01,2029-05-31,3300000
L0033,T002,P016,2022-01-01,2027-12-31,2800000
L0034,T023,P016,2024-01-01,2029-12-31,1950000
L0035,T005,P017,2023-04-01,2028-03-31,2400000
L0036,T014,P017,2024-02-01,2030-01-31,1800000
L0037,T008,P018,2022-07-01,2029-06-30,3100000
L0038,T018,P018,2024-01-01,2031-12-31,2700000
L0039,T021,P019,2023-01-01,2028-12-31,1600000
L0040,T022,P019,2024-05-01,2029-04-30,1750000
L0041,T015,P020,2023-02-01,2030-01-31,2900000
L0042,T025,P020,2024-01-01,2031-12-31,2500000
