maintenance_id,property_id,date,category,cost
M00001,P001,2024-01-12,HVAC,18500
M00002,P001,2024-02-08,Electrical,7200
M00003,P001,2024-03-19,Security,4500
M00004,P001,2024-05-07,Lift,12800
M00005,P001,2024-07-21,General Repairs,6300
M00006,P001,2024-09-14,Fire Safety,11200
M00007,P002,2024-01-23,Plumbing,5400
M00008,P002,2024-03-11,HVAC,21400
M00009,P002,2024-04-29,Cleaning,3800
M00010,P002,2024-06-18,Electrical,9200
M00011,P002,2024-08-05,Security,5100
M00012,P002,2024-10-16,General Repairs,7400
M00013,P003,2024-01-09,HVAC,28900
M00014,P003,2024-02-27,Electrical,11600
M00015,P003,2024-04-15,Lift,18700
M00016,P003,2024-06-03,Fire Safety,13500
M00017,P003,2024-08-22,Structural,42000
M00018,P003,2024-11-04,General Repairs,8900
M00019,P004,2024-01-17,Plumbing,6800
M00020,P004,2024-03-06,HVAC,17200
M00021,P004,2024-04-24,Security,6200
M00022,P004,2024-06-12,Electrical,8400
M00023,P004,2024-08-30,General Repairs,7100
M00024,P004,2024-10-11,Fire Safety,9400
M00025,P005,2024-02-02,HVAC,15400
M00026,P005,2024-03-21,Electrical,6800
M00027,P005,2024-05-14,Plumbing,4900
M00028,P005,2024-07-09,Security,3600
M00029,P005,2024-09-18,General Repairs,5200
M00030,P005,2024-11-26,Fire Safety,8100
M00031,P006,2024-01-08,HVAC,31500
M00032,P006,2024-02-19,Electrical,12800
M00033,P006,2024-04-05,Lift,22500
M00034,P006,2024-06-27,Structural,38500
M00035,P006,2024-08-13,Security,5900
M00036,P006,2024-10-22,General Repairs,9700
M00037,P007,2024-01-16,Plumbing,6100
M00038,P007,2024-03-04,HVAC,19300
M00039,P007,2024-05-23,Electrical,8700
M00040,P007,2024-07-17,Security,4300
M00041,P007,2024-09-06,Fire Safety,10200
M00042,P007,2024-11-19,General Repairs,5600
M00043,P008,2024-01-29,HVAC,24600
M00044,P008,2024-03-13,Lift,19800
M00045,P008,2024-04-30,Electrical,9100
M00046,P008,2024-06-21,Plumbing,7200
M00047,P008,2024-08-08,Security,4800
M00048,P008,2024-10-25,Structural,27600
M00049,P009,2024-01-11,HVAC,33700
M00050,P009,2024-02-23,Electrical,14500
M00051,P009,2024-04-18,Lift,24100
M00052,P009,2024-06-07,Security,6700
M00053,P009,2024-08-29,Structural,48200
M00054,P009,2024-11-12,General Repairs,11300
M00055,P010,2024-01-25,Plumbing,5900
M00056,P010,2024-03-18,HVAC,16200
M00057,P010,2024-05-09,Electrical,7800
M00058,P010,2024-07-26,Security,4100
M00059,P010,2024-09-13,Fire Safety,8800
M00060,P010,2024-11-05,General Repairs,6400
M00061,P011,2024-02-06,HVAC,13900
M00062,P011,2024-03-27,Electrical,6300
M00063,P011,2024-05-16,Plumbing,4200
M00064,P011,2024-07-04,Security,3500
M00065,P011,2024-09-24,General Repairs,5100
M00066,P011,2024-11-15,Fire Safety,7600
M00067,P012,2024-01-19,HVAC,11800
M00068,P012,2024-03-08,Electrical,5700
M00069,P012,2024-05-28,Plumbing,3900
M00070,P012,2024-07-12,Security,3200
M00071,P012,2024-09-20,General Repairs,4700
M00072,P012,2024-11-08,Fire Safety,6900
M00073,P013,2024-01-05,HVAC,35200
M00074,P013,2024-02-16,Electrical,14900
M00075,P013,2024-04-09,Lift,26800
M00076,P013,2024-06-25,Structural,51500
M00077,P013,2024-08-17,Security,7200
M00078,P013,2024-10-29,General Repairs,12600
M00079,P014,2024-01-22,HVAC,30100
M00080,P014,2024-03-15,Electrical,13100
M00081,P014,2024-05-03,Lift,21700
M00082,P014,2024-07-18,Plumbing,8300
M00083,P014,2024-09-09,Security,6100
M00084,P014,2024-11-21,General Repairs,9200
M00085,P015,2024-01-14,HVAC,32600
M00086,P015,2024-02-28,Electrical,13700
M00087,P015,2024-04-22,Lift,22900
M00088,P015,2024-06-14,Structural,44700
M00089,P015,2024-08-06,Security,6800
M00090,P015,2024-10-17,General Repairs,10800
M00091,P016,2024-01-31,Plumbing,5700
M00092,P016,2024-03-12,HVAC,18100
M00093,P016,2024-05-20,Electrical,8200
M00094,P016,2024-07-23,Security,3900
M00095,P016,2024-09-11,Fire Safety,9700
M00096,P016,2024-11-27,General Repairs,6100
M00097,P017,2024-02-12,HVAC,14700
M00098,P017,2024-04-03,Electrical,6100
M00099,P017,2024-05-30,Plumbing,4400
M00100,P017,2024-07-15,Security,3300
M00101,P017,2024-09-27,General Repairs,4800
M00102,P017,2024-11-18,Fire Safety,7200
M00103,P018,2024-01-18,HVAC,22600
M00104,P018,2024-03-25,Electrical,10400
M00105,P018,2024-05-13,Lift,16900
M00106,P018,2024-07-31,Structural,31900
M00107,P018,2024-09-16,Security,5400
M00108,P018,2024-11-06,General Repairs,8500
M00109,P019,2024-02-09,HVAC,12600
M00110,P019,2024-03-29,Electrical,5900
M00111,P019,2024-05-17,Plumbing,4100
M00112,P019,2024-07-08,Security,3100
M00113,P019,2024-09-23,General Repairs,4600
M00114,P019,2024-11-13,Fire Safety,6800
M00115,P020,2024-01-26,HVAC,21800
M00116,P020,2024-03-20,Electrical,9800
M00117,P020,2024-05-06,Lift,15400
M00118,P020,2024-07-29,Structural,28700
M00119,P020,2024-09-19,Security,5200
M00120,P020,2024-11-25,General Repairs,8100
